Node	Gene	Type	CIN_surv	Invasive_surv	MSIorCIMP_surv
APBB2_mrna	APBB2	mrna	died	died	died
APCS_prot	APCS	prot	died	prot	died
APC_mrna	APC	mrna	died	died	died
APEH_mrna	APEH	mrna	died	died	died
APEH_prot	APEH	prot	died	died	died
APEX1_mrna	APEX1	mrna	died	died	died
APEX1_prot	APEX1	prot	died	died	died
APEX2_mrna	APEX2	mrna	died	died	died
APH1A_mrna	APH1A	mrna	died	died	died
APH1B_mrna	APH1B	mrna	died	died	died
API5_mrna	API5	mrna	died	mrna	died
API5_prot	API5	prot	died	died	died
APIP_mrna	APIP	mrna	died	mrna	died
APITD1_mrna	APITD1	mrna	died	died	died
APLP2_mrna	APLP2	mrna	died	died	died
APOA1BP_mrna	APOA1BP	mrna	died	died	died
APOA1BP_prot	APOA1BP	prot	died	died	died
APOA1_mrna	APOA1	mrna	died	died	died
APOA1_prot	APOA1	prot	died	prot	died
APOA2_mrna	APOA2	mrna	died	died	died
APOA2_prot	APOA2	prot	died	died	died
APOA4_prot	APOA4	prot	died	died	died
APOB_mrna	APOB	mrna	died	died	died
APOB_prot	APOB	prot	died	died	died
APOC1_prot	APOC1	prot	died	died	died
APOC3_prot	APOC3	prot	died	died	died
APOD_mrna	APOD	mrna	died	died	died
APOD_prot	APOD	prot	died	died	died
APOE_mrna	APOE	mrna	died	mrna	mrna
APOE_prot	APOE	prot	died	prot	died
APOH_mrna	APOH	mrna	died	died	died
APOH_prot	APOH	prot	died	died	died
APOL1_mrna	APOL1	mrna	died	died	died
APOL2_prot	APOL2	prot	died	died	died
APOL3_mrna	APOL3	mrna	died	died	died
APOL6_mrna	APOL6	mrna	died	died	died
APOLD1_mrna	APOLD1	mrna	died	died	died
APOOL_mrna	APOOL	mrna	died	died	died
APOOL_prot	APOOL	prot	died	died	died
APOO_mrna	APOO	mrna	died	died	died
APPL1_prot	APPL1	prot	died	died	died
APPL2_prot	APPL2	prot	died	died	died
APP_mrna	APP	mrna	died	died	died
APP_prot	APP	prot	prot	died	died
APRT_mrna	APRT	mrna	died	died	died
APRT_prot	APRT	prot	died	died	died
APTX_mrna	APTX	mrna	died	died	died
AQP11_mrna	AQP11	mrna	died	died	died
AQP1_mrna	AQP1	mrna	died	died	died
AQP3_mrna	AQP3	mrna	died	died	died
AQP6_mrna	AQP6	mrna	died	died	died
AQP9_mrna	AQP9	mrna	died	died	died
AQR_mrna	AQR	mrna	died	died	died
ARAF_prot	ARAF	prot	died	died	died
ARCN1_prot	ARCN1	prot	died	died	died
AREG_mrna	AREG	mrna	mrna	died	mrna
ARF1_mrna	ARF1	mrna	died	died	died
ARF3_mrna	ARF3	mrna	died	died	died
ARF3_prot	ARF3	prot	died	died	died
ARF4_mrna	ARF4	mrna	mrna	died	died
ARF4_prot	ARF4	prot	died	died	died
ARF5_mrna	ARF5	mrna	died	died	died
ARF5_prot	ARF5	prot	died	died	died
ARF6_mrna	ARF6	mrna	died	died	died
ARF6_prot	ARF6	prot	died	died	died
ARFGAP1_mrna	ARFGAP1	mrna	died	died	died
ARFGAP1_prot	ARFGAP1	prot	prot	died	died
ARFGAP2_mrna	ARFGAP2	mrna	died	died	died
ARFGAP2_prot	ARFGAP2	prot	died	died	died
ARFGAP3_prot	ARFGAP3	prot	died	died	died
ARFGEF1_mrna	ARFGEF1	mrna	died	died	died
ARFGEF1_prot	ARFGEF1	prot	died	died	died
ARFGEF2_mrna	ARFGEF2	mrna	died	died	died
ARFGEF2_prot	ARFGEF2	prot	died	died	died
ARFIP1_mrna	ARFIP1	mrna	died	died	died
ARFIP1_prot	ARFIP1	prot	died	died	died
ARFIP2_mrna	ARFIP2	mrna	died	died	died
ARFIP2_prot	ARFIP2	prot	died	died	died
ARGLU1_mrna	ARGLU1	mrna	died	died	died
ARHGAP17_prot	ARHGAP17	prot	died	died	died
ARHGAP1_mrna	ARHGAP1	mrna	died	died	died
ARHGAP1_prot	ARHGAP1	prot	prot	died	died
ARHGAP22_mrna	ARHGAP22	mrna	died	died	died
ARHGAP25_mrna	ARHGAP25	mrna	mrna	died	mrna
ARHGAP27_mrna	ARHGAP27	mrna	died	died	died
ARHGAP29_mrna	ARHGAP29	mrna	died	died	died
ARHGAP30_mrna	ARHGAP30	mrna	mrna	mrna	mrna
ARHGAP40_mrna	ARHGAP40	mrna	died	died	died
ARHGAP4_prot	ARHGAP4	prot	died	died	died
ARHGAP5_mrna	ARHGAP5	mrna	died	died	died
ARHGDIA_mrna	ARHGDIA	mrna	died	died	died
ARHGDIA_prot	ARHGDIA	prot	prot	died	died
ARHGDIB_mrna	ARHGDIB	mrna	died	died	died
ARHGDIB_prot	ARHGDIB	prot	died	died	died
ARHGEF11_mrna	ARHGEF11	mrna	died	died	died
ARHGEF12_mrna	ARHGEF12	mrna	died	died	died
ARHGEF12_prot	ARHGEF12	prot	prot	died	prot
ARHGEF16_prot	ARHGEF16	prot	died	died	died
ARHGEF17_mrna	ARHGEF17	mrna	died	died	died
ARHGEF1_mrna	ARHGEF1	mrna	died	mrna	died
ARHGEF1_prot	ARHGEF1	prot	prot	died	prot
ARHGEF25_mrna	ARHGEF25	mrna	died	died	died
ARHGEF2_prot	ARHGEF2	prot	died	died	died
ARHGEF3_mrna	ARHGEF3	mrna	died	died	died
ARHGEF7_prot	ARHGEF7	prot	prot	died	died
ARID1B_mrna	ARID1B	mrna	died	died	died
ARID2_mrna	ARID2	mrna	died	died	died
ARID3A_prot	ARID3A	prot	died	died	died
ARID4A_mrna	ARID4A	mrna	died	died	died
ARID4B_mrna	ARID4B	mrna	died	died	died
ARIH2OS_mrna	ARIH2OS	mrna	died	died	died
ARIH2_mrna	ARIH2	mrna	died	died	died
ARL13B_mrna	ARL13B	mrna	died	died	died
ARL16_mrna	ARL16	mrna	died	died	died
ARL1_prot	ARL1	prot	died	died	died
ARL2BP_mrna	ARL2BP	mrna	died	died	died
ARL2_mrna	ARL2	mrna	died	died	died
ARL3_prot	ARL3	prot	died	died	died
ARL4A_mrna	ARL4A	mrna	died	died	died
ARL5A_mrna	ARL5A	mrna	died	died	died
ARL5B_mrna	ARL5B	mrna	died	died	died
ARL6IP1_mrna	ARL6IP1	mrna	died	died	died
ARL6IP1_prot	ARL6IP1	prot	died	died	died
ARL6IP5_prot	ARL6IP5	prot	died	died	died
ARL6IP6_mrna	ARL6IP6	mrna	died	died	died
ARL6_mrna	ARL6	mrna	died	died	died
