Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
ACAD10_mrna	ACAD10	mrna	CUL4B_prot;DHX9_prot;GLS_prot;GNB1_prot;LDB3_prot;NUP50_prot;PTBP1_prot	7
ACAD11_mrna	ACAD11	mrna	CUL4B_prot;DHX9_prot;GLS_prot;GNB1_prot;LDB3_prot;NUP50_prot;PTBP1_prot	7
ACAD8_mrna	ACAD8	mrna	CUL4B_prot;DHX9_prot;GLS_prot;GNB1_prot;LDB3_prot;NUP50_prot;PTBP1_prot	7
ACAD8_prot	ACAD8	prot	TSG101_prot	1
ACAD9_mrna	ACAD9	mrna	CUL4B_prot;DHX9_prot;GLS_prot;GNB1_prot;LDB3_prot;NUP50_prot;PTBP1_prot	7
ACAD9_prot	ACAD9	prot	AGMAT_prot;ASPH_prot;ATAD3A_prot;ATP5A1_prot;DBT_prot;DLAT_prot;ERAL1_prot;EVPL_prot;FAF2_prot;GLS_prot;HSPD1_prot;MRPL1_prot;NDUFA13_prot;NDUFA2_prot;NDUFA8_prot;NDUFB11_prot;NDUFS3_prot;NDUFS7_prot;NFS1_prot;NIPSNAP3A_prot;NUP155_prot;PDK1_prot;PDK3_prot;PNPT1_prot;POF1B_prot;PPL_prot;SDHA_prot;SERPINB5_prot;SLC25A5_prot;SSR1_prot;TIMM50_prot;VDAC1_prot	32
ACADM_mrna	ACADM	mrna	AGL_prot;PML_prot	2
ACADM_prot	ACADM	prot	CUL3_prot;HDAC1_prot;STRAP_prot;SUMO4_prot	4
ACADSB_mrna	ACADSB	mrna	AGL_prot;PML_prot	2
ACADSB_prot	ACADSB	prot	PXDN_prot	1
ACADS_mrna	ACADS	mrna	AGL_prot;PML_prot	2
ACADS_prot	ACADS	prot	DPEP1_prot;SUN2_prot	2
ACADVL_mrna	ACADVL	mrna	HNF4A_prot	1
ACADVL_prot	ACADVL	prot	ALB_prot;ATP5L_prot;CDH1_prot;CDK1_prot;DENR_prot;DHRS4_prot;EIF4A3_prot;GPHN_prot;HIBCH_prot;HMGCL_prot;METAP2_prot;NDUFA13_prot;PA2G4_prot;RPSA_prot;SURF1_prot	15
ACAN_mrna	ACAN	mrna	HNF4A_prot	1
ACAP1_mrna	ACAP1	mrna	HNF4A_prot	1
ACAP2_mrna	ACAP2	mrna	HNF4A_prot	1
ACAT1_mrna	ACAT1	mrna	HNF4A_prot;STAT1_prot	2
