Node	Gene	Type	Basal-like_surv	HER2-enriched_surv	Luminal A_surv	Luminal B_surv
ADIPOR1_mrna	ADIPOR1	mrna	died	died	died	died
ADIPOR1_prot	ADIPOR1	prot	died	died	died	died
ADIPOR2_mrna	ADIPOR2	mrna	mrna	died	died	died
ADIRF_prot	ADIRF	prot	died	died	died	died
ADK_mrna	ADK	mrna	died	died	died	died
ADK_prot	ADK	prot	died	died	died	died
ADM5_mrna	ADM5	mrna	died	died	died	died
ADM_mrna	ADM	mrna	mrna	died	died	died
ADNP_mrna	ADNP	mrna	died	died	died	died
ADNP_prot	ADNP	prot	died	died	died	died
ADORA1_mrna	ADORA1	mrna	died	died	died	died
ADORA2A_mrna	ADORA2A	mrna	died	died	died	died
ADORA2B_mrna	ADORA2B	mrna	died	died	died	died
ADO_prot	ADO	prot	died	died	died	died
ADPGK_mrna	ADPGK	mrna	mrna	died	died	died
ADPGK_prot	ADPGK	prot	died	died	died	died
ADPRHL2_mrna	ADPRHL2	mrna	died	died	died	died
ADPRHL2_prot	ADPRHL2	prot	died	died	died	died
ADPRH_mrna	ADPRH	mrna	died	died	died	died
ADPRH_prot	ADPRH	prot	died	died	died	died
ADPRM_mrna	ADPRM	mrna	died	died	died	died
ADRA1A_mrna	ADRA1A	mrna	died	died	died	died
ADRA1B_mrna	ADRA1B	mrna	mrna	died	died	died
ADRA1D_mrna	ADRA1D	mrna	died	died	died	died
ADRA2A_mrna	ADRA2A	mrna	died	died	died	died
ADRA2B_mrna	ADRA2B	mrna	died	died	died	died
ADRA2C_mrna	ADRA2C	mrna	died	died	died	died
ADRB1_mrna	ADRB1	mrna	died	died	died	died
ADRB2_mrna	ADRB2	mrna	died	died	died	died
ADRBK1_mrna	ADRBK1	mrna	died	died	died	died
ADRBK1_prot	ADRBK1	prot	died	died	died	died
ADRBK2_prot	ADRBK2	prot	died	died	died	died
ADRM1_mrna	ADRM1	mrna	died	died	died	died
ADRM1_prot	ADRM1	prot	died	died	died	died
ADSL_mrna	ADSL	mrna	died	died	died	died
ADSL_prot	ADSL	prot	died	died	died	died
ADSSL1_mrna	ADSSL1	mrna	died	died	died	died
ADSSL1_prot	ADSSL1	prot	died	died	died	died
ADSS_mrna	ADSS	mrna	died	died	died	died
ADSS_prot	ADSS	prot	died	died	died	died
ADTRP_mrna	ADTRP	mrna	died	died	died	died
AEBP1_mrna	AEBP1	mrna	died	died	died	died
AEBP1_prot	AEBP1	prot	died	died	died	died
AEBP2_mrna	AEBP2	mrna	died	died	died	died
AEBP2_prot	AEBP2	prot	died	died	died	died
AEN_mrna	AEN	mrna	died	died	died	died
AES_prot	AES	prot	died	died	died	died
AFAP1L1_prot	AFAP1L1	prot	died	died	died	died
AFAP1L2_prot	AFAP1L2	prot	died	died	died	died
AFAP1_mrna	AFAP1	mrna	died	died	died	died
AFAP1_prot	AFAP1	prot	died	died	died	died
AFF1_mrna	AFF1	mrna	died	died	died	died
AFF1_prot	AFF1	prot	died	died	died	died
AFF3_mrna	AFF3	mrna	died	died	died	died
AFF4_mrna	AFF4	mrna	died	died	died	died
AFF4_prot	AFF4	prot	died	died	died	died
AFG3L2_mrna	AFG3L2	mrna	died	died	died	died
AFG3L2_prot	AFG3L2	prot	died	died	died	died
AFMID_mrna	AFMID	mrna	died	died	died	died
AFM_prot	AFM	prot	died	died	died	died
AFTPH_mrna	AFTPH	mrna	died	died	died	died
AFTPH_prot	AFTPH	prot	died	died	died	died
AGAP1_mrna	AGAP1	mrna	died	died	died	died
AGAP1_prot	AGAP1	prot	died	died	died	died
AGAP2_mrna	AGAP2	mrna	died	died	died	died
AGAP2_prot	AGAP2	prot	died	died	died	died
AGAP3_mrna	AGAP3	mrna	died	died	died	died
AGAP3_prot	AGAP3	prot	died	died	died	died
AGA_mrna	AGA	mrna	died	died	died	died
AGA_prot	AGA	prot	died	died	died	died
AGBL3_mrna	AGBL3	mrna	died	died	died	died
AGBL5_mrna	AGBL5	mrna	died	died	died	died
AGFG1_mrna	AGFG1	mrna	died	died	died	died
AGFG1_prot	AGFG1	prot	died	died	died	died
AGFG2_prot	AGFG2	prot	died	died	died	died
AGGF1_mrna	AGGF1	mrna	died	died	died	died
AGGF1_prot	AGGF1	prot	died	died	died	died
AGK_prot	AGK	prot	died	died	died	died
AGL_prot	AGL	prot	died	died	died	died
